Class,ColorCode
12-oxophytodienoic acid metabolites,#be712a
2-arylbenzofurans,#482cf1
2-pyrone derivatives,#2cf52b
"2-pyrone derivatives,Acyclic monoterpenoids",#8e14f5
"2-pyrone derivatives,Decalins with 2-pyrones",#5aed2d
"2-pyrone derivatives,Furans",#580dd8
"2-pyrone derivatives,Isocoumarins",#84f136
"2-pyrone derivatives,Pyridine alkaloids",#832eec
3-Decalinoyltetramic acids,#30d52e
"3-Decalinoyltetramic acids,Cytochalasan alkaloids",#b220e9
3-Spirotetramic acids,#49eb52
3-acyl tetramic acids,#c93dff
"3-acyl tetramic acids,Open-chain polyketides",#a3f139
3-oligoenoyltetramic acids,#3816c1
"3-oligoenoyltetramic acids,Pyridine alkaloids",#d5f32f
4-pyrone derivatives,#6439e5
"4-pyrone derivatives,Open-chain polyketides",#7ff661
"4-pyrone derivatives,Triketide meroterpenoids",#ef21ec
Abeoabietane diterpenoids,#5bd137
Abietane diterpenoids,#8316cc
Acetate-derived alkaloids,#f3f335
Acetogenins,#2c3fda
"Acetogenins,Linear tetronates",#a0dd32
"Acetogenins,Macrolide lactones",#a841f0
"Acidic glycosphingolipids,Phosphosphingolipids",#5ded6d
Acorane sesquiterpenoids,#cb27db
Acridone alkaloids,#39ab12
Actinomycins,#5a17b7
Acyclic guanidine alkaloids,#9bf261
Acyclic monoterpenoids,#5951f3
"Acyclic monoterpenoids,Farnesane sesquiterpenoids",#d2ef52
"Acyclic monoterpenoids,Hydrocarbons",#311ea9
Acyclic triterpenoids,#7ed546
Acyl phloroglucinols,#8742e2
"Aeruginosins,Linear peptides",#61b928
"Aeruginosins,Linear peptides,Lipopeptides",#d251f7
Aflatoxins,#2ab53c
"Aflatoxins,Methyl xanthones",#f34ff2
Africanane sesquiterpenoids,#58f085
"Africanane sesquiterpenoids,Protoilludane sesquiterpenoids",#ad2fcc
Agarofuran sesquiterpenoids,#6bd45b
Ahp-containing cyclodepsipeptides,#a455ef
"Ahp-containing cyclodepsipeptides,Cyclic peptides,Depsipeptides",#a7c522
"Ahp-containing cyclodepsipeptides,Cyclic peptides,Depsipeptides,Lipopeptides",#5b3ccc
"Ahp-containing cyclodepsipeptides,Depsipeptides,Lipopeptides",#dce140
Alliacane sesquiterpenoids,#805bf0
Amino cyclitols,#eed121
"Amino cyclitols,Aminoglycosides",#3441c5
Aminoacids,#abe65b
"Aminoacids,Azo and Azoxy alkaloids",#dc26c4
"Aminoacids,Clavams",#2dc45e
"Aminoacids,Dipeptides",#f642d0
"Aminoacids,Open-chain polyketides",#94f278
"Aminoacids,Simple amide alkaloids",#9a23b1
Aminoglycosides,#74ae14
"Aminoglycosides,Anthracyclines",#5d62f1
"Aminoglycosides,Linear sesterterpenoids",#bdc41f
Aminosugars,#4e1490
"Aminosugars,Enediynes",#f2f96d
"Anabaenopeptins,Cyclic peptides",#643bb9
Androstane steroids,#88c339
Angucyclines,#d451e3
"Angucyclines,Anthraquinones and anthrones",#5bb943
Ansa macrolides,#9b3ec8
"Ansa macrolides,Lactam bearing macrolide lactones",#44a42f
Anthracyclines,#bb5eec
"Anthracyclines,Anthraquinones and anthrones",#2c9019
Anthranillic acid derivatives,#db11ac
"Anthranillic acid derivatives,Shikimic acids and derivatives,Simple indole alkaloids,Simple phenolic acids",#52ef99
"Anthranillic acid derivatives,Simple amide alkaloids",#ad0599
"Anthranillic acid derivatives,Simple indole alkaloids",#1bcb78
Anthraquinones and anthrones,#f029a8
"Anthraquinones and anthrones,Enediynes",#38f0ac
"Anthraquinones and anthrones,Isoindole alkaloids",#e33ab9
"Anthraquinones and anthrones,Methyl xanthones",#76dd78
"Anthraquinones and anthrones,Naphthoquinones",#7624a4
Antimycins,#c7e963
Aphidicolane diterpenoids,#985fe6
"Aphidicolane diterpenoids,Tetracyclic diterpenoids",#b4f57f
Aplysiatoxins,#221473
"Aplysiatoxins,Open-chain polyketides",#f2d94b
Apocarotenoids (??-),#3d60dd
"Apocarotenoids (C30, ??-??)",#eabc29
Apocarotenoids(??-),#447cfe
"Apocarotenoids(??-),Megastigmanes",#c9bb2f
Aristolane sesquiterpenoids,#7a57d5
Aromadendrane sesquiterpenoids,#a5e672
Aromatic polyketides with side chains,#db6bf4
Arteminisin,#4ab252
Arylnaphthalene and aryltetralin lignans,#ce3bbb
Ascomycins and Rapamycins,#87f59c
Asperane sesterterpenoids,#bb23a6
Aspidosperma type,#89ca57
Asteriscane sesquiterpenoids,#ae73fb
Aurones,#9cbe3a
Avermectins,#3d2993
Azaphilones,#dae364
"Azaphilones,Ergostane steroids",#8d1993
"Azaphilones,Flavonolignans",#d0f786
"Azaphilones,Isocoumarins",#15064d
"Azaphilones,Phthalide derivatives",#ecde65
Azo and Azoxy alkaloids,#3844ac
"Azo and Azoxy alkaloids,Simple amide alkaloids",#80a31b
Bafilomycins,#9275f4
"Bagremycins,Shikimic acids and derivatives",#67a836
"Bagremycins,Shikimic acids and derivatives,Simple phenolic acids",#ef5cd7
Benastatins and derivatives,#4c8d1a
Benzodiazepine alkaloids,#a232a7
"Benzodiazepine alkaloids,Other indole diketopiperazine alkaloids",#63d686
Benzophenones,#fa217f
Benzoquinones,#49eabd
Bergamotane sesquiterpenoids,#f02f14
Betaestacin-type sesterterpenoids,#43f2f2
Biaryl type diarylheptanoids,#de191f
