Superclass,ColorCode
??-lactam-??-lactones,#a77243
"??-lactam-??-lactones,Ornithine alkaloids",#c633ee
??-lactams,#795d24
"??-lactams,Small peptides",#a76194
Alkylresorcinols,#788249
"Alkylresorcinols,Aromatic polyketides",#7b486c
Amino acid glycosides,#c9a982
Aminosugars and aminoglycosides,#e0e8a5
"Aminosugars and aminoglycosides,Polycyclic aromatic polyketides",#8b33d1
"Aminosugars and aminoglycosides,Polyols",#a3f139
"Aminosugars and aminoglycosides,Sesterterpenoids",#4746da
Anthranilic acid alkaloids,#78d424
"Anthranilic acid alkaloids,Peptide alkaloids",#e832d2
Apocarotenoids,#64e861
Aromatic polyketides,#c756e5
"Aromatic polyketides,Diphenyl ethers (DPEs)",#b9ed3a
"Aromatic polyketides,Meroterpenoids",#3f28a3
Carotenoids (C40),#d7f13f
Carotenoids (C45),#8e66ee
Carotenoids (C50),#4ab41f
Chromanes,#8a2fa6
"Chromanes,Coumarins",#8ce354
"Chromanes,Cyclic polyketides",#515dd9
"Chromanes,Lignans,Flavonoids",#93c920
"Chromanes,Xanthones",#be38ae
Coumarins,#42b43c
"Coumarins,Aromatic polyketides",#e5339b
"Coumarins,Cyclic polyketides",#3dda79
"Coumarins,Linear polyketides",#591774
"Coumarins,Macrolides",#e7e139
"Coumarins,Meroterpenoids",#2b176a
"Coumarins,Sesquiterpenoids",#c0ea63
"Coumarins,Xanthones",#b567d8
Cyclic polyketides,#da4f77
"Cyclic polyketides,Linear polyketides",#3577e4
"Cyclic polyketides,Meroterpenoids",#f5c52e
"Cyclic polyketides,Monoterpenoids",#8486f0
"Cyclic polyketides,Oligopeptides",#7dac22
Diarylheptanoids,#a370d8
Diazotetronic acids and derivatives,#8dcc53
"Diazotetronic acids and derivatives,Lignans",#6746a2
Diphenyl ethers (DPEs),#9cea7b
"Diphenyl ethers (DPEs),Meroterpenoids",#893382
Diterpenoids,#73ea8e
"Diterpenoids,Linear polyketides",#dd285b
"Diterpenoids,Meroterpenoids",#5fe9b0
Eicosanoids,#eb3825
Fatty Acids and Conjugates,#60e6cb
Fatty acyl glycosides,#e95314
Fatty acyls,#65e1e3
"Fatty acyls,Monoterpenoids",#ce2a2b
Fatty amides,#39ad55
"Fatty amides,Linear polyketides",#e44d8e
"Fatty amides,Peptide alkaloids",#3f9121
Fatty esters,#d281de
