X.canopus.Class.,ColorCode
"6,7-benzomorphans",#D4EBB5
Ajmaline-sarpagine alkaloids,#E58882
Amaryllidaceae alkaloids,#F7EC7B
Aporphines,#BE92BE
Aspidospermatan-type alkaloids,#EDECBD
Benzophenanthridine alkaloids,#92A9C4
Betalains,#95A8C2
Camptothecins,#C9C6D3
Cephalotaxus alkaloids,#E2D2B9
Cinchona alkaloids,#EEEC8A
Corynanthean-type alkaloids,#CAAEC5
Eburnan-type alkaloids,#95B1BF
Emetine alkaloids,#E6EC97
Ergoline and derivatives,#B5B2A2
Erythrina alkaloids,#B1B2A5
Harmala alkaloids,#C8EABC
Ibogan-type alkaloids,#B19DAC
Indolonaphthyridine alkaloids,#89C5DA
Lupin alkaloids,#C3B0C0
Macroline alkaloids,#9BA5BD
Morphinans,#F2EC84
Phthalide isoquinolines,#BE90BE
Plumeran-type alkaloids,#F6CEE3
Protoberberine alkaloids and derivatives,#E5EB9A
Strychnos alkaloids,#E8D3DE
Tropane alkaloids,#4e2120
Vinca alkaloids,#C1B7D4
Vobasan alkaloids,#F98174
Yohimbine alkaloids,#C396C4
Acyclic allenes,#E59496
Cyclic allenes,#DF8B87
Anthracenes,#B4E2C0
Dibenzocycloheptenes,#F0F9B5
Fluorenes,#9BD8C4
Indenes and isoindenes,#CCC9D1
Naphthacenes,#98D7C5
Naphthalenes,#F8CDDE
Pentacenes,#C8D5C3
Phenanthrenes and derivatives,#E3C264
Indanes,#BE88BF
Tetralins,#8DD3C7
Phenols,#D14285
Ellagic acids and derivatives,#EBEC8F
Thiophenols,#F3F2B9
Pyrenes,#EFEC88
Benzene and substituted derivatives,#673770
Phenol esters,#00540B
Phenol ethers,#95D6C5
Thiophenol ethers,#F7B762
Thiophenol esters,#DDC564
Phenalenes,#E0EBA2
Phenalanes,#EE8B86
Triphenyl compounds,#C2ADC0
"1-hydroxylamino, 2-unsubstituted benzenoids",#BCD868
"1-hydroxylamino, 4-unsubstituted benzenoids",#E1989E
N-phenylhydroxylamines,#F0B36D
O-phenylhydroxylamines,#E8F6B7
Acenaphthylenes,#D6D2D6
Quinodimethanes,#E4EB9C
Tropones,#ECBD63
Polycyclic hydrocarbons,#E1EBA0
Saturated hydrocarbons,#DCDAC7
Unsaturated hydrocarbons,#F6B367
Aromatic hydrocarbons,#A5B1B1
Lignan lactones,#BC80BD
Lignan glycosides,#689030
Arylnaphthalene lignans,#FFED6F
Dibenzocyclooctadiene lignans,#C1A5BF
Flavonolignans,#CEB9CF
Dibenzylbutane lignans,#CEB7CE
Cyclobutane lignans,#C0E6BE
Aryltetralin lignans,#DAD8D9
Furanoid lignans,#D7EBB1
Glycerolipids,#3F4921
Glycerophospholipids,#508578
Sphingolipids,#89C5DA
Steroids and steroid derivatives,#B7E3BF
Prenol lipids,#D7C1B1
S-alkyl-CoAs,#D2D69D
Glycerophosphonolipids,#F9CDE4
Fatty Acyls,#45C097
Saccharolipids,#D6EBB3
Purine nucleosides,#DBD8D9
Pyrimidine nucleosides,#BEB29A
Benzimidazole ribonucleosides and ribonucleotides,#FF58F3
Pyridine nucleotides,#F9EC77
Purine nucleotides,#C7CAC2
Pyrimidine nucleotides,#C0717C
Imidazole ribonucleosides and ribonucleotides,#EAD3DF
Pyrrolopyrimidine nucleosides and nucleotides,#C8A5C8
Triazole ribonucleosides and ribonucleotides,#E7D4DD
(5'->5')-dinucleotides,#E2979B
Nucleoside and nucleotide analogues,#5F7FC7
(3'->5')-dinucleotides and analogues,#ECD2DF
Ribonucleoside 3'-phosphates,#BADC75
5'-deoxyribonucleosides,#E9D1C6
"2',5'-dideoxyribonucleosides",#CADDC4
"Allyl-type 1,3-dipolar organic compounds",#E4040A
"Carbene-type 1,3-dipolar compounds",#EDD0CC
"Propargyl-type 1,3-dipolar organic compounds",#9ED9C4
Carboxylic acids and derivatives,#d54a4a
Organosulfenic acids and derivatives,#FBCDE4
Sulfinic acids and derivatives,#AB9FB1
Organic carbonic acids and derivatives,#DF9AA0
Keto acids and derivatives,#F18881
Organic phosphoric acids and derivatives,#D5D5A3
Organic sulfuric acids and derivatives,#8569D5
Organic phosphonic acids and derivatives,#C7B292
Hydroxy acids and derivatives,#CAE0C4
Organic nitric acids and derivatives,#E7D3DE
Boronic acid derivatives,#3D8B99
Thiocarboxylic acids and derivatives,#E79293
Thiosulfinic acid esters,#C09DBF
Orthocarboxylic acid derivatives,#D1C0D1
Organic thiophosphoric acids and derivatives,#C9A8C9
Peptidomimetics,#C4B4CF
Organic thiosulfuric acids and derivatives,#D4A4B3
Carboximidic acids and derivatives,#C84248
Imidothioic acids and derivatives,#CFBCCF
Carbodithioic acids,#D0CD66
Carbothioic S-acids,#D1CECE
Hydrazinesulfinic acids,#C7C4D4
Carboperoxoic acids,#D3C7D3
Borinic acid derivatives,#B3DE69
Organic dithiophosphoric acids and derivatives,#F8CEE3
Carbothioic S-esters,#D4D2CC
Carbothioic S-lactones,#D1EBBC
Carbothioic O-esters,#C7D267
Carbothioic O-lactones,#BFD667
Carbodithioic acid esters,#FB8072
Vinylogous acids,#D0BED0
Vinylogous amides,#F0EFBB
Vinylogous esters,#CBACC2
Dithiocarbamic acids and derivatives,#CECE66
Vinylogous thioesters,#F3B962
Organic sulfonic acids and derivatives,#FDEC71
Organonitrogen compounds,#CD9BCD
Organooxygen compounds,#B6DB68
Organic oxoanionic compounds,#F6FBB4
Organic hydroperoxides,#C1DA81
Organic oxoazanium compounds,#C6949B
Organic oxides,#38333E
Polysaccharides,#CBD588
Polypeptides,#C8AFC7
Organic azides,#D8C965
Hydrochlorides,#BA99A4
Organic chloride salts,#F78277
Organic metal salts,#9d4582
Sulfonyl halides,#FAF9B5
Organobromides,#8FAAC6
Organochlorides,#CCD894
Organofluorides,#EB867E
Organoiodides,#F4857C
Halohydrins,#CAACCB
Acyl halides,#E1D5DC
Aryl halides,#F5B862
Alkyl halides,#CBEAC5
Vinyl halides,#F3D0E2
Imidoyl halides,#E5D4DD
Haloalkenes,#E2EB9E
Haloacetylenes and derivatives,#C097A0
Thiepanes,#8CACC9
Benzoxazolines,#EFCFCF
Lactones,#DA5724
Oxazepines,#B49CA9
Thiazepines,#D6D3CB
Azepines,#86B1CD
Oxetanes,#89B1CA
Diazepines,#EABE63
Furans,#C2A8C0
Oxazines,#F3FAB4
Pyrans,#BD8ABD
Pyridines and derivatives,#74D944
Pyrroles,#C7B1CA
Pyrrolines,#E3B378
Tetrazines,#E4D5DC
Thiazines,#D3D0CD
Thiophenes,#BDE5BE
Triazines,#CCCF66
Azetidines,#E4D2BC
Aziridines,#C4B5C1
Azirines,#DED3B3
Dioxolanes,#DAB381
Oxathiolanes,#DE9BA3
Oxazinanes,#C6C8C2
Pteridines and derivatives,#FBB562
Benzopyrans,#C4BAC1
Azaspirodecane derivatives,#B4DC68
Epoxides,#CEEBC0
Lactams,#C8D0C3
Thiolactams,#F48276
Diazaspirononane derivatives,#B8DC72
Dioxoles,#D4B386
Piperidines,#FACDE4
Indoles and derivatives,#AE9EAE
Pyrrolopyridines,#DBD4AD
Pyrrolidines,#DCD4B0
Pyrrolizines,#CE50CA
Pyrrolizidines,#9FB1B6
Quinolizidines,#EAEC91
Quinolizines,#F78174
Thiadiazines,#C294C3
Benzothiepins,#E8EC95
Thiolanes,#E4C164
Thienoimidazoles,#F3B36A
Biotin and derivatives,#bb4870
Indolizidines,#D7D4D7
Quinuclidines,#C49AC5
Benzazepines,#CECBD0
Benzimidazoles,#DBD9C8
Benzodiazepines,#C4C0D6
Benzodioxoles,#CFCCCF
Benzofurans,#EBF7B6
Benzoxazoles,#F3EC82
Pyrazolopyridines,#FACDE1
Pyrazolopyrimidines,#EA8F8E
Azepanes,#F1BA63
Benzothiazines,#E9E8BF
Benzothiazoles,#BD98A2
Benzothiophenes,#FCB462
Triazolopyrazines,#C2AAC0
Triazolopyridines,#CCB3CD
Benzotriazoles,#F68479
Benzothiazepines,#BCDB78
Benzoxazepines,#C3E7BD
Imidazopyridines,#638acb
Pyrrolopyrazines,#C4B294
Thienopyridines,#E7D1C2
Thietanes,#CC9296
Dioxanes,#F4CED8
Thiiranes,#F5F4B8
Dithietanes,#C2B5D2
Dioxetanes,#CDB5CD
Azoles,#c85737
Dithiolanes,#C99398
Sultams,#89ADCB
Imidazothiazoles,#DBC665
Oxaphospholanes,#C1A2BF
Dioxaphospholanes,#BED767
Pyrimidodiazepines,#C7D98B
Thiolactones,#DBEBAB
Quinolines and derivatives,#CBE8C4
Diazines,#EBD2DF
Dioxins,#E0D3B6
Benzoxazines,#CEECBB
Triazolopyrimidines,#DEDCC6
Thienoimidazolidines,#B8DA68
Tetrapyrroles and derivatives,#CFEBBE
Phenanthrolines,#D9D8D9
Benzopyrazoles,#E88780
Naphthofurans,#C09ABF
Naphthopyrans,#D1B289
Oxepanes,#C5B2CD
Oxocins,#AFE0C1
Imidazopyrimidines,#C5D987
Pyrrolotriazines,#E6C064
Pyrrolopyrimidines,#C5D367
Furofurans,#F8F8B6
Furopyrans,#BC85BD
Isoindoles and derivatives,#CED797
Thienopyrroles,#D3D6A0
Pyrrolothiazoles,#D4CBD4
Trioxanes,#EE847B
Trioxolanes,#DAEBAD
Pyridopyrimidines,#C398C4
Trithianes,#C1BDD8
Dithianes,#C9D166
Benzoxathioles,#F08A84
Thiazetidines,#DCEBA9
Thiazinanes,#C3DA84
Oxathianes,#E5F5B7
Thianes,#D1A33D
Thiopyrans,#F6CEDB
Benzoxepines,#DDB37E
Furopyrroles,#98B1BC
Thienothiazines,#F2CFD5
Thienothiazoles,#F4CFE2
Benzoxadiazoles,#D68E8F
Thienopyrans,#FBEC75
Oxolanes,#D8D5CA
Imidazodiazepines,#EBD0C9
Dihydrofurans,#AEB2A8
Dioxolopyrans,#CBD066
Pyrroloazepines,#E8E6C0
Imidazotetrazines,#A9DEC2
Pyrazolotriazines,#D4EEBA
Pyranodioxins,#D9D5AA
Oxanes,#FCFDB3
Thienopyrimidines,#F0BB63
Bi- and oligothiophenes,#D38F91
Metalloheterocyclic compounds,#D2CC66
Dithiins,#B79AA7
Oxathiins,#E5E3C2
Benzoxathiins,#E6D4DD
Dithioles,#D6CA65
Dihydrothiophenes,#92D5C6
Benzodioxins,#BFBBD9
Dioxiranes,#CAB28F
Pyranopyridines,#ED8D89
Naphthothiazoles,#C08DC1
Triazolopyridazines,#CAE2C4
Oxazolopyridines,#CBAECB
Triazolothiazoles,#EDB370
Pyrrolopyrazoles,#E89191
Pyranopyrimidines,#CEB28C
Dioxaborolanes,#F6F6B7
Oxathioles,#D0D79A
Thienodiazepines,#E7B375
Triazolodiazepines,#BDDB7B
Benzothiadiazoles,#CDABC0
Isoxazolopyridines,#C3969D
Benzisoxazoles,#E6E5C1
Cycloheptathiophenes,#D99FAB
Benzocycloheptapyridines,#C0A0BF
Piperazinopiperidines,#F1CFD2
Diazinanes,#C6C2D5
Selenazoles,#CDEBC2
Oxazaphosphinanes,#FFFFB3
Dioxathiolanes,#C59CC6
Azolines,#C2BFD7
Azolidines,#D6D0D6
Isothiochromenes,#FCCDE5
Thiochromenes,#98A7BF
Epoxypiperidines,#F2D0E1
Diazetidines,#A3DBC3
Thiatriazoles,#D3A5B5
Isoquinolines and derivatives,#C3B2C0
Oxathiazolidines,#DFD6DB
Imidazopiperidines,#83B1D0
Tetrahydrofurans,#BE86BF
Diazirines,#BF8BC0
Triazinanes,#C9D8C3
Benzodioxanes,#DA9EA8
Pyridodiazepines,#E3E1C3
Benzodithiins,#A7A1B3
Thiochromanes,#C191C2
Isothiochromanes,#CBC7D2
Lactims,#E2D5DC
Diazepanes,#D1A7B8
Cycloheptafurans,#F18379
Cycloheptapyrans,#D7B383
Dioxepines,#E0DEC5
Dioxepanes,#F1D0E1
Tetrahydroisoquinolines,#F7CEE3
Dihydroisoquinolines,#D7A1AD
Thiadiazinanes,#BC82BD
Organoboroxines,#D6A2B0
Thienopyridazines,#FCEC73
Azobenzenes,#D7D5A6
Isobenzofurans,#DCD7DA
Benzothiopyrans,#EDD2DF
Azaphilones,#D8EBAF
Imidazopyrazines,#F9B662
"Pyrrolo[3,4-d]pyridazines",#D4CB65
Quinolidines,#8A7C64
Carbodithiolactones,#BAD968
Imidolactams,#D7EFBA
Azacyclic compounds,#BF98BE
Oxacyclic compounds,#C7CDC2
Phosphacyclic compounds,#B6DD6F
Heteroaromatic compounds,#599861
Selenophenes,#D0A8BA
Oxirenes,#EEEDBC
Coumarans,#DED7DA
Isocoumarans,#8FB1C4
Thienothiophenes,#C3D467
"Pyrazolo[3,4-b]pyrazines",#A8B1AE
"Pyrazolo[1,5-a][1,3,5]triazines",#E28985
"Pyrazolo[1,5-d][1,2,4]triazines",#BD88BD
"Imidazo[1,2-a]pyrazin-8-ones",#D9D9D9
"Imidazo[1,2-a]pyrimidines",#EFD1E0
"Imidazo[1,2-a][1,2,4]triazines",#F0D0E1
"Imidazo[2,1-c][1,2,4]triazines",#B4DD6C
"Imidazo[1,5-a]pyrazines",#A0DAC3
"Imidazo[1,2-a]pyridines",#EBEABE
"1,3-thiazolo[5,4-d]pyrimidines",#D9C765
Pyridopyrazines,#80B1D3
Furopyridines,#F5CFE2
"Furo[2,3-d]pyrimidines",#EED1E0
Phosphiranes,#BFB8D7
"Benzo-1,2,3-triazines",#EB8E8B
Oxadiazines,#D1C2D2
Diazanaphthalenes,#C18FC1
Organometalloid compounds,#EAB372
Organo-post-transition metal compounds,#9EA4BA
Organic phosphines and derivatives,#FDFDB3
Organothiophosphorus compounds,#DDEBA6
Dihydroxyphosphanes,#C7A3C8
Organophosphinic acids and derivatives,#ACDFC1
Alkylphosphonofluoridic acids and esters,#F4EC80
Trialkylphosphites,#D5CDD5
Alkylhalophosphines,#CF9193
Sulfoxides,#AD6F3B
Thioamides,#E0B37B
Imidothioesters,#EDEC8D
Sulfonyls,#C1B297
Thioacetals,#DC8C8A
Thiocarbonyl compounds,#EDF8B5
Thiocyanates,#A4A2B5
Thioethers,#E49599
Thioureas,#BAE4BF
Isothioureas,#83AFD0
Isothiocyanates,#BD84BE
Thiohemiaminal derivatives,#DCF1B9
Thioenols,#E3D5DC
Thiols,#DFEBA4
Organic trisulfides,#C6C2C2
Organic disulfides,#F6EC7E
Sulfimides,#C6A1C7
Sulfinyl compounds,#E8BF63
Organic thioperoxides,#8FD4C6
Sulfonimidamides,#86AECE
Thioperoxols,#BD8DBE
Sulfenyl compounds,#A2B1B3
Allyl sulfur compounds,#B2E1C0
Cinnamaldehydes,#D3C9D4
Macrolactams,#D2EBBA
Coumarins and derivatives,#D98D8C
Macrolides and analogues,#652926
Tetracyclines,#D9F0B9
Tannins,#FF9308
Stilbenes,#C9AACA
Flavonoids,#6DDE88
Cinnamic acids and derivatives,#D9D7C9
Neoflavonoids,#8CB1C7
Aurone flavonoids,#D8D6D8
Depsides and depsidones,#A1A3B8
Isochromanequinones,#CBB0CC
Ciguatera toxins,#C8D2C3
Isocoumarins and derivatives,#D3EBB8
Macrolide lactams,#E1DFC4
Anthracyclines,#BF95BE
Isoflavonoids,#F0EC86
Homoisoflavonoids,#D1EDBB
Phenylpropanoic acids,#92B1C2
"3,4-dihydrocoumarins",#D2C4D2
Diarylheptanoids,#967e2d
Cinnamyl alcohols,#CEAABD
2-arylbenzofuran flavonoids,#C6C5C2
Angucyclines,#ABB2AB
"Linear 1,3-diarylpropanoids",#C5C0C1
Others (< 3),#E9B42E
Unassigned,#272A2A
