subclass,ColorCode
"Amino acids, peptides, and analogues",#d23636
Fatty amides,#6b52e4
Trifluoromethylbenzenes,#7ae742
Benzylamines,#5f24b5
Carboxylic acid derivatives,#bde54b
Halobenzenes,#be44de
Terpene glycosides,#6be876
Hydroxysteroids,#dc35b3
Carbohydrates and carbohydrate conjugates,#45b239
Fatty acids and conjugates,#45268a
Glycerophosphocholines,#ddd640
Delta-5-steroids,#4d6bd6
Carbonyl compounds,#88bb4a
Glycerophosphoserines,#a271e1
Purines and purine derivatives,#56e195
Boronic acids,#d86dd6
Glycosphingolipids,#438734
Purine ribonucleotides,#8e3897
Cyclohexylamines,#47d8a9
Amines,#de3a72
Triradylcglycerols,#ade69b
Aryl fluorides,#251747
Quaternary ammonium salts,#e5aa38
Alcohols and polyols,#424185
Fatty acyl glycosides,#dad780
Sesquiterpenoids,#5e2960
Hybrid peptides,#8f9733
Depsipeptides,#867ecc
Boronic acid esters,#d56b2e
Ceramides,#70e3e7
Tetraterpenoids,#dc4134
Beta hydroxy acids and derivatives,#71d3b6
"Bile acids, alcohols and derivatives",#922b62
Pyrimidines and pyrimidine derivatives,#7daf74
Anisoles,#cd64a6
Pregnane steroids,#3e5b23
Phosphate esters,#e0a3e0
Fatty acid esters,#313519
Phosphosphingolipids,#62a1de
Organic metalloid salts,#973134
Tetracarboxylic acids and derivatives,#54b1c6
Morpholines,#824923
Benzenesulfonyl compounds,#b4c7e1
Aryl bromides,#50241c
Steroidal glycosides,#c9e1c7
Flavonoid glycosides,#38192a
Fatty alcohols,#d2b989
Triterpenoids,#142932
Oxosteroids,#de8f70
Dicarboxylic acids and derivatives,#506d9c
Coumarin glycosides,#857337
Toluenes,#a69cc6
1-benzopyrans,#3d8563
Hydroxycinnamic acids and derivatives,#da7486
Steroidal alkaloids,#405645
Tricarboxylic acids and derivatives,#ddb1b7
Ethers,#3c4760
Benzoic acids and derivatives,#7da897
Alkyl fluorides,#754454
Guanidines,#4d7882
N-alkylindoles,#9b6f90
Phenoxy compounds,#878569
Cholestane steroids,#966c63
Others (< 3),#E9B42E
Unassigned,#272A2A
