X.canopus.Superclass.,ColorCode
Organoheterocyclic compounds,#8F5998
Organosulfur compounds,#5F975F
Lipids and lipid-like molecules,#C66764
Allenes,#755A7F
Phenylpropanoids and polyketides,#AC3A4D
Organic acids and derivatives,#D589B1
Organohalogen compounds,#F381BD
Alkaloids and derivatives,#FFBC18
"Nucleosides, nucleotides, and analogues",#77787B
Organophosphorus compounds,#BB7E2A
Organometallic compounds,#AC5934
"Lignans, neolignans and related compounds",#999999
Benzenoids,#FF9308
Hydrocarbons,#3D7AB1
Organic Polymers,#449B75
Organic anions,#E41A1C
Organic cations,#D7B42E
Organic zwitterions,#AC5782
Carbenes,#B791A5
"Organic 1,3-dipolar compounds",#E07494
Organic salts,#F4EA31
Hydrocarbon derivatives,#FFE528
Acetylides,#CD674E
Organopnictogen compounds,#4BAB52
Organic oxygen compounds,#3D8B99
Organic nitrogen compounds,#EE771A
Others (< 3),#E9B42E
Unassigned,#272A2A
